<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150101;010000;59.2343000
USDRUB;60;20150101;020000;59.1927000
USDRUB;60;20150101;030000;59.2332000
USDRUB;60;20150101;040000;59.2332000
USDRUB;60;20150101;050000;59.4288000
USDRUB;60;20150101;060000;59.9887000
USDRUB;60;20150101;070000;59.9999000
USDRUB;60;20150101;080000;60.8699000
USDRUB;60;20150101;090000;60.7450000
USDRUB;60;20150101;100000;60.7450000
USDRUB;60;20150102;010000;58.0670000
USDRUB;60;20150102;020000;58.0670000
USDRUB;60;20150102;030000;56.9930000
USDRUB;60;20150102;040000;58.0670000
USDRUB;60;20150102;050000;58.0670000
USDRUB;60;20150102;060000;58.0206000
USDRUB;60;20150102;070000;58.0461000
USDRUB;60;20150102;080000;57.0024000
USDRUB;60;20150102;090000;58.0670000
USDRUB;60;20150102;100000;57.0150000
USDRUB;60;20150102;110000;58.0190000
USDRUB;60;20150102;120000;58.0084000
USDRUB;60;20150102;160000;60.7325000
USDRUB;60;20150102;170000;58.6245000
USDRUB;60;20150102;180000;57.9888000
USDRUB;60;20150102;190000;58.2495000
USDRUB;60;20150102;200000;57.7750000
USDRUB;60;20150102;210000;57.6980000
USDRUB;60;20150102;220000;58.8248000
USDRUB;60;20150102;230000;58.9245000
USDRUB;60;20150103;000000;58.7250000
USDRUB;60;20150103;010000;59.2481000
USDRUB;60;20150103;020000;58.7440000
USDRUB;60;20150103;030000;58.5300000
USDRUB;60;20150103;040000;58.7470000
USDRUB;60;20150103;050000;58.8179000
USDRUB;60;20150103;060000;58.8179000
USDRUB;60;20150105;060000;58.5300000
USDRUB;60;20150105;070000;58.5300000
USDRUB;60;20150105;080000;58.5300000
USDRUB;60;20150105;090000;58.5300000
USDRUB;60;20150105;100000;58.5300000
USDRUB;60;20150105;110000;58.5300000
USDRUB;60;20150105;120000;58.5300000
USDRUB;60;20150105;130000;58.7450000
USDRUB;60;20150105;140000;57.9993000
USDRUB;60;20150105;150000;57.9003000
USDRUB;60;20150105;160000;57.9932000
USDRUB;60;20150105;170000;58.7471000
USDRUB;60;20150105;180000;58.4009000
USDRUB;60;20150105;190000;59.1432000
USDRUB;60;20150105;200000;59.3414000
USDRUB;60;20150105;210000;59.5787000
USDRUB;60;20150105;220000;59.5515000
USDRUB;60;20150105;230000;60.0449000
USDRUB;60;20150106;000000;59.8742000
USDRUB;60;20150106;010000;60.3041000
USDRUB;60;20150106;020000;60.1174000
USDRUB;60;20150106;030000;60.1817000
USDRUB;60;20150106;040000;61.0732000
USDRUB;60;20150106;050000;60.4320000
USDRUB;60;20150106;060000;60.1400000
USDRUB;60;20150106;070000;60.1400000
USDRUB;60;20150106;080000;60.5632000
USDRUB;60;20150106;090000;60.5633000
USDRUB;60;20150106;100000;59.9991000
USDRUB;60;20150106;110000;59.9991000
USDRUB;60;20150106;120000;59.9991000
